Year,Country,Temperature,Precipitation_mm,Production.t,Area.Harvested,Yield,Continent,Region
2000,Brazil,21.359273695054945,3.77189217032967,1903562.0,2267968,8393,Americas,Latin America & Caribbean
2000,China,18.909285714285716,4.507747252747253,11568.0,9600,12050,Asia,East Asia & Pacific
2000,Colombia,19.979938186813186,8.185755494505495,637140.0,675342,9434,Americas,Latin America & Caribbean
2000,Ethiopia,20.826438873626373,3.225618131868132,229980.0,250000,9199,Africa,Sub-Saharan Africa
2000,Guatemala,19.08205128205128,3.754267399267399,312060.0,273000,11431,Americas,Latin America & Caribbean
2000,Honduras,22.603452380952383,3.5328479853479853,193309.0,210769,9172,Americas,Latin America & Caribbean
2000,Mexico,26.287156593406593,5.87554945054945,338170.0,701326,4822,Americas,Latin America & Caribbean
2000,Peru,21.475274725274726,2.1333791208791206,191651.0,264492,7246,Americas,Latin America & Caribbean
2001,Brazil,22.10259589041096,3.3128253424657537,1819569.0,2336031,7789,Americas,Latin America & Caribbean
2001,China,19.283136986301372,5.22868493150685,17202.0,14600,11782,Asia,East Asia & Pacific
2001,Colombia,20.91078082191781,5.516739726027397,656160.0,704846,9309,Americas,Latin America & Caribbean
2001,Ethiopia,20.815770547945206,3.221308219178082,157155.0,243834,6445,Africa,Sub-Saharan Africa
2001,Guatemala,19.527652968036527,3.7493972602739727,261096.84,262296,9954,Americas,Latin America & Caribbean
2001,Honduras,24.167579908675798,1.7370867579908675,205545.0,216562,9491,Americas,Latin America & Caribbean
2001,Mexico,26.549082191780823,5.843232876712329,302996.0,747416,4054,Americas,Latin America & Caribbean
2001,Peru,22.24519178082192,1.6177260273972605,196232.0,274252,7155,Americas,Latin America & Caribbean
2002,Brazil,22.194609589041097,3.503736301369863,2610524.0,2370891,11011,Americas,Latin America & Caribbean
2002,China,19.168876712328768,4.668301369863014,19456.0,15600,12472,Asia,East Asia & Pacific
2002,Colombia,21.034191780821917,5.3311232876712324,696840.0,710510,9808,Americas,Latin America & Caribbean
2002,Ethiopia,21.41542123287671,3.092582191780822,160000.0,218000,7339,Africa,Sub-Saharan Africa
2002,Guatemala,19.807648401826484,4.229689497716895,255091.28,262016,9736,Americas,Latin America & Caribbean
2002,Honduras,23.9402602739726,2.637643835616438,172727.0,204490,8447,Americas,Latin America & Caribbean
2002,Mexico,26.905575342465752,6.309479452054795,313027.0,724558,4320,Americas,Latin America & Caribbean
2002,Peru,22.51154794520548,1.5304657534246575,212770.0,287379,7404,Americas,Latin America & Caribbean
2003,Brazil,21.672010273972603,3.42761301369863,1987074.0,2395501,8295,Americas,Latin America & Caribbean
2003,China,19.389164383561646,3.590602739726027,23144.0,16000,14465,Asia,East Asia & Pacific
2003,Colombia,20.842181506849315,5.301280821917808,694080.0,721362,9622,Americas,Latin America & Caribbean
2003,Ethiopia,21.876972602739727,2.6728493150684933,126188.0,232439,5429,Africa,Sub-Saharan Africa
2003,Guatemala,19.749566210045664,3.7965570776255704,244200.0,247339,9873,Americas,Latin America & Caribbean
2003,Honduras,24.040205479452055,2.6561004566210045,175284.0,228438,7673,Americas,Latin America & Caribbean
2003,Mexico,26.703630136986302,6.882410958904109,310861.0,742837,4185,Americas,Latin America & Caribbean
2003,Peru,22.738698630136987,1.300904109589041,203148.0,291844,6961,Americas,Latin America & Caribbean
2004,Brazil,20.989267418032785,4.306608606557377,2465710.0,2368040,10412,Americas,Latin America & Caribbean
2004,China,19.055983606557376,3.9556830601092896,21659.0,12000,18049,Asia,East Asia & Pacific
2004,Colombia,20.603101092896175,4.679364754098361,674400.0,771219,8745,Americas,Latin America & Caribbean
2004,Ethiopia,21.594282786885245,2.739945355191257,156170.0,260201,6002,Africa,Sub-Saharan Africa
2004,Guatemala,19.633265027322405,4.526621129326047,250279.0,247339,10119,Americas,Latin America & Caribbean
2004,Honduras,23.909025500910747,2.3648633879781418,185090.0,236376,7830,Americas,Latin America & Caribbean
2004,Mexico,26.76814207650273,6.075655737704918,312413.0,760581,4108,Americas,Latin America & Caribbean
2004,Peru,22.825887978142074,1.2705737704918032,231447.0,295139,7842,Americas,Latin America & Caribbean
2005,Brazil,21.592857876712326,3.8547054794520546,2140169.0,2325920,9201,Americas,Latin America & Caribbean
2005,China,19.683616438356164,3.943013698630137,21919.0,15500,14141,Asia,East Asia & Pacific
2005,Colombia,20.961931506849314,4.483554794520548,667140.0,806884,8268,Americas,Latin America & Caribbean
2005,Ethiopia,21.2807397260274,3.1621301369863013,171631.0,261175,6571,Africa,Sub-Saharan Africa
2005,Guatemala,19.625945205479454,6.209497716894977,248277.0,247339,10038,Americas,Latin America & Caribbean
2005,Honduras,23.751118721461186,2.8273150684931507,190640.0,238455,7995,Americas,Latin America & Caribbean
2005,Mexico,26.71190410958904,9.150383561643835,294364.0,762261,3862,Americas,Latin America & Caribbean
2005,Peru,23.920684931506848,0.44989041095890414,188611.0,301534,6255,Americas,Latin America & Caribbean
2006,Brazil,21.438119863013696,3.801969178082192,2573368.0,2312157,11130,Americas,Latin America & Caribbean
2006,China,19.581753424657535,3.9840821917808222,25655.0,14400,17816,Asia,East Asia & Pacific
2006,Colombia,20.55143493150685,4.808739726027397,724740.0,785535,9226,Americas,Latin America & Caribbean
2006,Ethiopia,20.63458904109589,5.434753424657534,241482.0,295238,8179,Africa,Sub-Saharan Africa
2006,Guatemala,19.45813698630137,3.693799086757991,240331.38,247339,9717,Americas,Latin America & Caribbean
2006,Honduras,24.05799086757991,2.232173515981735,213636.0,250012,8545,Americas,Latin America & Caribbean
2006,Mexico,26.58223287671233,6.621452054794521,279635.0,763418,3663,Americas,Latin America & Caribbean
2006,Peru,23.517342465753423,0.7057260273972602,273178.0,321449,8498,Americas,Latin America & Caribbean
2007,Brazil,21.947265410958902,2.9192876712328766,2249011.0,2264129,9933,Americas,Latin America & Caribbean
2007,China,19.067630136986303,4.077123287671233,26000.0,15110,17207,Asia,East Asia & Pacific
2007,Colombia,20.950092465753425,2.9819246575342464,757080.0,797660,9491,Americas,Latin America & Caribbean
2007,Ethiopia,20.0875102739726,5.166739726027397,273400.0,407147,6715,Africa,Sub-Saharan Africa
2007,Guatemala,19.67807305936073,3.6425844748858447,248613.98,248597,10001,Americas,Latin America & Caribbean
2007,Honduras,23.466050228310504,3.2157534246575343,236302.0,239000,9887,Americas,Latin America & Caribbean
2007,Mexico,26.535753424657532,6.310082191780822,268565.0,772036,3479,Americas,Latin America & Caribbean
2007,Peru,23.031000000000002,1.357123287671233,225992.0,324062,6974,Americas,Latin America & Caribbean
2008,Brazil,21.555162226775956,3.87556693989071,2796927.0,2222224,12586,Americas,Latin America & Caribbean
2008,China,18.95476775956284,4.437704918032787,33278.0,16280,20441,Asia,East Asia & Pacific
2008,Colombia,20.26647199453552,4.324760928961749,688680.0,732656,9400,Americas,Latin America & Caribbean
2008,Ethiopia,20.39717554644809,4.229515027322405,260239.0,391296,6651,Africa,Sub-Saharan Africa
2008,Guatemala,19.249959016393444,4.083652094717669,254914.38,248597,10254,Americas,Latin America & Caribbean
2008,Honduras,22.816461748633877,4.03884335154827,240948.0,242000,9957,Americas,Latin America & Caribbean
2008,Mexico,26.36489071038251,6.132677595628415,260442.0,766984,3396,Americas,Latin America & Caribbean
2008,Peru,22.36301912568306,1.5676229508196722,273780.0,333388,8212,Americas,Latin America & Caribbean
2009,Brazil,21.651763698630138,4.03508904109589,2440056.0,2135508,11426,Americas,Latin America & Caribbean
2009,China,19.336657534246577,3.8282191780821915,70405.0,22530,31249,Asia,East Asia & Pacific
2009,Colombia,20.8873698630137,4.219198630136986,468720.0,765345,6124,Americas,Latin America & Caribbean
2009,Ethiopia,20.819832191780822,4.159335616438356,265469.0,395003,6721,Africa,Sub-Saharan Africa
2009,Guatemala,19.630995433789952,2.97510502283105,247502.68,248807,9948,Americas,Latin America & Caribbean
2009,Honduras,23.221091324200913,2.966904109589041,231288.0,242683,9530,Americas,Latin America & Caribbean
2009,Mexico,26.736068493150682,4.8134794520547945,264472.0,765697,3454,Americas,Latin America & Caribbean
2009,Peru,23.04190410958904,1.1676164383561645,243479.0,342621,7106,Americas,Latin America & Caribbean
2010,Brazil,21.942546232876712,3.225643835616438,2907265.0,2159785,13461,Americas,Latin America & Caribbean
2010,China,20.000452054794522,3.9632876712328766,49596.0,25007,19833,Asia,East Asia & Pacific
2010,Colombia,20.85603082191781,5.72272602739726,535380.0,778052,6881,Americas,Latin America & Caribbean
2010,Ethiopia,20.513414383561642,4.923671232876712,370569.0,498618,7432,Africa,Sub-Saharan Africa
2010,Guatemala,19.661566210045663,3.9694337899543375,248355.43,249925,9937,Americas,Latin America & Caribbean
2010,Honduras,22.84248401826484,4.210328767123288,244335.0,313429,7796,Americas,Latin America & Caribbean
2010,Mexico,26.604917808219177,6.704164383561643,245271.0,741410,3308,Americas,Latin America & Caribbean
2010,Peru,23.686794520547945,0.7612602739726028,264605.0,349633,7568,Americas,Latin America & Caribbean
2011,Brazil,21.26811301369863,3.602654109589041,2700540.0,2148775,12568,Americas,Latin America & Caribbean
2011,China,18.909342465753426,4.110602739726027,65384.0,29550,22127,Asia,East Asia & Pacific
2011,Colombia,20.058715753424657,6.291630136986302,468540.0,723921,6472,Americas,Latin America & Caribbean
2011,Ethiopia,20.763585616438355,3.4186369863013697,376823.0,515882,7304,Africa,Sub-Saharan Africa
2011,Guatemala,19.634205479452056,3.524767123287671,265401.43,254817,10415,Americas,Latin America & Caribbean
2011,Honduras,22.807182648401827,3.817196347031963,284347.0,328375,8659,Americas,Latin America & Caribbean
2011,Mexico,26.659808219178082,6.615287671232877,237056.0,688208,3445,Americas,Latin America & Caribbean
2011,Peru,22.35131506849315,1.674,331547.0,367096,9032,Americas,Latin America & Caribbean
2012,Brazil,21.954590163934427,2.9894159836065572,3037534.0,2120080,14327,Americas,Latin America & Caribbean
2012,China,19.984535519125682,3.739016393442623,92064.0,37800,24356,Asia,East Asia & Pacific
2012,Colombia,20.263053278688524,5.95233606557377,462000.0,696023,6638,Americas,Latin America & Caribbean
2012,Ethiopia,20.685215163934426,4.518080601092897,275530.0,528571,5213,Africa,Sub-Saharan Africa
2012,Guatemala,19.518451730418942,3.314635701275045,272432.0,254328,10712,Americas,Latin America & Caribbean
2012,Honduras,23.05153005464481,3.16856102003643,343403.0,347065,9894,Americas,Latin America & Caribbean
2012,Mexico,26.66564207650273,6.507595628415301,246121.0,695350,3540,Americas,Latin America & Caribbean
2012,Peru,22.10587431693989,1.8502185792349726,320163.56,370632,8638,Americas,Latin America & Caribbean
2013,Brazil,21.76498801369863,3.6115753424657533,2964538.0,2085522,14215,Americas,Latin America & Caribbean
2013,China,19.59213698630137,4.459095890410959,116826.0,49600,23554,Asia,East Asia & Pacific
2013,Colombia,20.57815410958904,5.9726917808219175,653160.0,771725,8464,Americas,Latin America & Caribbean
2013,Ethiopia,20.137962328767124,5.691938356164384,392006.0,538466,7280,Africa,Sub-Saharan Africa
2013,Guatemala,20.037812785388127,3.688219178082192,248668.0,250624,9922,Americas,Latin America & Caribbean
2013,Honduras,23.465013698630134,3.3026392694063924,280697.0,285471,9833,Americas,Latin America & Caribbean
2013,Mexico,26.823739726027398,6.583287671232877,231596.0,700117,3308,Americas,Latin America & Caribbean
2013,Peru,22.703794520547945,1.441945205479452,256241.43,399523,6414,Americas,Latin America & Caribbean
2014,Brazil,22.6962397260274,2.129808219178082,2804070.0,1997827,14036,Americas,Latin America & Caribbean
2014,China,19.77231506849315,3.734520547945205,127585.93,49225,25919,Asia,East Asia & Pacific
2014,Colombia,20.84304109589041,5.54477397260274,728400.0,795563,9156,Americas,Latin America & Caribbean
2014,Ethiopia,20.14254794520548,5.494808219178082,419980.0,561762,7476,Africa,Sub-Saharan Africa
2014,Guatemala,19.663123287671233,3.87696803652968,227653.47,262435,8675,Americas,Latin America & Caribbean
2014,Honduras,23.666424657534247,2.761150684931507,282230.0,270000,10453,Americas,Latin America & Caribbean
2014,Mexico,26.710150684931506,6.924191780821918,214667.0,699307,3070,Americas,Latin America & Caribbean
2014,Peru,22.898972602739725,1.1916438356164383,222047.0,361671,6139,Americas,Latin America & Caribbean
2015,Brazil,23.11818493150685,2.7682054794520545,2647504.0,1977714,13387,Americas,Latin America & Caribbean
2015,China,19.76984931506849,4.3054794520547945,115896.76,42810,27072,Asia,East Asia & Pacific
2015,Colombia,21.32449315068493,3.76686301369863,827750.0,801118,10332,Americas,Latin America & Caribbean
2015,Ethiopia,20.684092465753427,5.537246575342466,457014.23,653910,6989,Africa,Sub-Saharan Africa
2015,Guatemala,20.073278538812787,4.578712328767123,225653.13,269424,8375,Americas,Latin America & Caribbean
2015,Honduras,24.107319634703195,2.6506849315068495,332747.0,270000,12324,Americas,Latin America & Caribbean
2015,Mexico,27.246164383561645,6.281452054794521,188934.0,664885,2842,Americas,Latin America & Caribbean
2015,Peru,23.176356164383563,1.2292328767123288,251938.0,379187,6644,Americas,Latin America & Caribbean
2016,Brazil,22.564750683060108,3.1302800546448086,3024466.0,1996604,15148,Americas,Latin America & Caribbean
2016,China,19.683251366120217,4.152049180327869,114186.44,40875,27936,Asia,East Asia & Pacific
2016,Colombia,21.352301912568308,4.730409836065574,818243.0,778362,10512,Americas,Latin America & Caribbean
2016,Ethiopia,20.360379098360657,6.105368852459017,469091.0,700475,6697,Africa,Sub-Saharan Africa
2016,Guatemala,20.124485428051003,4.618615664845173,236144.72,274177,8613,Americas,Latin America & Caribbean
2016,Honduras,23.905924408014574,2.9733697632058287,366542.0,309806,11831,Americas,Latin America & Caribbean
2016,Mexico,27.13474043715847,8.106256830601092,151714.0,645638,2350,Americas,Latin America & Caribbean
2016,Peru,23.745136612021856,1.0833333333333333,277760.4,383973,7234,Americas,Latin America & Caribbean
2017,Brazil,22.26989726027397,2.787815068493151,2684508.0,1802417,14894,Americas,Latin America & Caribbean
2017,China,19.674986301369863,5.011397260273973,115110.14,39818,28909,Asia,East Asia & Pacific
2017,Colombia,20.63724315068493,5.910438356164383,851640.0,903950,9421,Americas,Latin America & Caribbean
2017,Ethiopia,20.45113698630137,6.160856164383562,449229.81,725961,6188,Africa,Sub-Saharan Africa
2017,Guatemala,19.608543378995435,5.803917808219178,224000.0,257619,8695,Americas,Latin America & Caribbean
2017,Honduras,23.189543378995435,3.6795707762557077,477580.0,423676,11272,Americas,Latin America & Caribbean
2017,Mexico,26.856109589041093,9.582383561643836,153777.4,638603,2408,Americas,Latin America & Caribbean
2017,Peru,22.84015068493151,1.5055616438356163,337330.0,424129,7953,Americas,Latin America & Caribbean
2018,Brazil,22.221527397260274,3.447373287671233,3552729.0,1863966,19060,Americas,Latin America & Caribbean
2018,China,19.325068493150685,5.631835616438356,116519.0,38933,29928,Asia,East Asia & Pacific
2018,Colombia,20.706722602739724,5.080657534246575,813420.0,877140,9274,Americas,Latin America & Caribbean
2018,Ethiopia,20.403147260273972,5.106445205479452,494574.36,764863,6466,Africa,Sub-Saharan Africa
2018,Guatemala,19.496214611872144,5.652812785388128,240400.0,279446,8603,Americas,Latin America & Caribbean
2018,Honduras,23.30699086757991,2.897525114155251,478830.76,431122,11107,Americas,Latin America & Caribbean
2018,Mexico,26.774493150684933,8.213917808219177,158307.99,629799,2514,Americas,Latin America & Caribbean
2018,Peru,22.721424657534246,1.2396164383561643,369621.99,432409,8548,Americas,Latin America & Caribbean
2019,Brazil,22.913051369863012,2.8259383561643836,3011745.0,1825283,16500,Americas,Latin America & Caribbean
2019,China,20.206534246575345,3.048767123287671,121012.0,38775,31209,Asia,East Asia & Pacific
2019,Colombia,21.098489726027395,5.393760273972603,885120.0,853698,10368,Americas,Latin America & Caribbean
2019,Ethiopia,20.952739726027396,5.673931506849315,482560.57,758523,6362,Africa,Sub-Saharan Africa
2019,Guatemala,20.127196347031962,5.900438356164383,216400.0,288758,7494,Americas,Latin America & Caribbean
2019,Honduras,24.51768493150685,2.4161643835616435,472497.96,408005,11581,Americas,Latin America & Caribbean
2019,Mexico,27.30041095890411,7.164109589041096,165712.27,629300,2633,Americas,Latin America & Caribbean
2019,Peru,23.081452054794518,1.190164383561644,363319.59,438177,8292,Americas,Latin America & Caribbean
2020,Brazil,22.37158982240437,3.1976400273224046,3705719.0,1898429,19520,Americas,Latin America & Caribbean
2020,China,20.42665300546448,4.909508196721311,114970.0,36959,31108,Asia,East Asia & Pacific
2020,Colombia,21.3099556010929,4.375300546448087,833400.0,844744,9866,Americas,Latin America & Caribbean
2020,Ethiopia,20.08458674863388,7.486099726775956,584789.57,856592,6827,Africa,Sub-Saharan Africa
2020,Guatemala,20.028292349726776,7.6675227686703105,246000.0,360133,6831,Americas,Latin America & Caribbean
2020,Honduras,23.724025500910745,5.018324225865209,364552.38,307662,11849,Americas,Latin America & Caribbean
2020,Mexico,27.091489071038254,9.92035519125683,175554.62,636004,2760,Americas,Latin America & Caribbean
2020,Peru,23.537882513661202,0.933360655737705,353205.74,430820,8198,Americas,Latin America & Caribbean
2021,Brazil,22.587301369863013,2.8855753424657533,2985581.0,1832508,16292,Americas,Latin America & Caribbean
2021,China,19.554945205479452,4.6229589041095895,108906.0,34180,31863,Asia,East Asia & Pacific
2021,Colombia,20.799616438356164,4.119821917808219,560340.0,840112,6670,Americas,Latin America & Caribbean
2021,Ethiopia,20.22604794520548,6.4313082191780815,545566.0,794403,6868,Africa,Sub-Saharan Africa
2021,Guatemala,19.593630136986302,6.2026301369863015,226700.0,351902,6442,Americas,Latin America & Caribbean
2021,Honduras,22.88844292237443,4.453945205479452,400674.42,333035,12031,Americas,Latin America & Caribbean
2021,Mexico,26.825602739726026,7.218465753424657,174341.0,641799,2716,Americas,Latin America & Caribbean
2021,Peru,22.961164383561645,1.1734520547945206,363996.83,429717,8471,Americas,Latin America & Caribbean
2022,Brazil,21.956914383561646,3.226917808219178,3172562.0,1872511,16943,Americas,Latin America & Caribbean
2022,China,19.5546301369863,5.06386301369863,108885.67,33272,32726,Asia,East Asia & Pacific
2022,Colombia,20.361907534246573,6.553116438356164,665015.95,842399,7894,Americas,Latin America & Caribbean
2022,Ethiopia,20.45626369863014,5.250712328767123,496200.0,741850,6689,Africa,Sub-Saharan Africa
2022,Guatemala,19.496406392694063,7.4409315068493145,225500.0,366865,6147,Americas,Latin America & Caribbean
2022,Honduras,22.916374429223744,4.963050228310502,315490.07,258326,12213,Americas,Latin America & Caribbean
2022,Mexico,26.904452054794522,7.708958904109589,181706.42,646804,2809,Americas,Latin America & Caribbean
2022,Peru,23.14301369863014,1.0606849315068492,352645.43,423854,8320,Americas,Latin America & Caribbean
